id,start_time,end_time,province,city,county,organization,position
130102013,2008年05月,2012年04月,河北省,石家庄市,,省委组织部,副部长
130102017,2013年06月,2016年12月,河北省,石家庄市,,供销合作总社,党组书记
130102017,2013年06月,2016年12月,河北省,石家庄市,,供销合作总社,理事会主任
130111988,1986年,1988年,河北省,石家庄市,,市委,副书记
130111993,1984年12月,1989年10月,河北省,沧州地区,,地委,副书记
130111993,1984年12月,1989年10月,河北省,沧州地区,,行署,专员
130201990,1983年8月,1991年4月,河北省,唐山市,,市政府,副市长
130201990,1983年8月,1991年4月,河北省,唐山市,,市委,副书记
130201995,1994年02月,1994年11月,河北省,唐山市,,市委,常委
130201995,1994年02月,1994年11月,河北省,唐山市,,市政府,副市长
130202007,2004年04月,2006年09月,河北省,唐山市,,市委,副书记
130202007,2004年04月,2006年09月,河北省,唐山市,,政府,副市长
130202008,2004年03月,2008年01月,河北省,,,信息产业厅,厅长
130202008,2004年03月,2008年01月,河北省,,,信息产业厅,党组书记
130202008,2004年03月,2008年01月,河北省,,,省政府信息化工作办公室,主任
